date,USDKRW,S&P 500,KOSPI,O,CVX,JPM,JNJ,VZ,MMM,PEP,SBUX,TLT,LQD,Korean Bonds,gold,KRW,USD,total balance USD,total balance KRW,transfer_KRW
2023-03-30,1304.38000488281,225,87,37,5,6,5,19,7,4,7,35,8,3314.1806711368445,3035110,25007,6.31,22748.60151104841,29672820.950058483,0
2023-04-01,1306.09997558594,226,88,37,5,6,5,19,7,4,8,35,8,3468.031609117786,3049910,15827,114.74,23377.3210359184,30533118.434277646,500000
2023-04-03,1318.88000488281,226,88,37,5,6,5,19,7,4,8,35,8,3441.583755304039,3071000,15827,114.74,23338.838119265863,30781126.93269653,0
2023-04-03,1315.55004882813,226,89,37,5,6,5,19,7,4,8,35,9,3581.31262599766,3053980,1223,6.52,23354.799240140943,30724407.28073848,0
2023-05-01,1337.31005859375,226,89,37,5,6,5,19,7,4,8,35,9,3528.496603818227,3155360,122160,25.16,23799.750752416094,31827646.07323021,0
2023-05-03,1342.44995117188,233,93,40,5,6,5,21,8,4,8,37,9,3649.9356983273233,3244063,0,-5.960000000000001,24403.710544348483,32760760.028673194,1060000
2023-05-31,1323.5400390625,233,93,40,5,6,5,21,8,4,8,37,9,3743.0420340808896,3165783,26693,32.81,24041.577611538403,31819990.571099665,0
2023-05-31,1324.86999511719,240,93,43,6,6,6,23,9,5,8,40,9,3794.3496482878304,3338000,7,73.22,25402.30467512271,33654751.27089513,1900000
2023-06-14,1275.03002929687,240,93,43,6,6,6,23,9,5,8,40,9,3947.1078204921255,3196800,11257,107.86,26135.652878578752,33323742.25546722,0
2023-06-16,1272.43005371094,256,97,47,6,7,6,27,9,5,10,44,11,4264.161306294175,3600098,15426,40.42,28511.58255599275,36278994.52310568,2801100
2023-07-03,1313.6700439453125,256,97,47,6,7,6,27,9,5,10,44,11,4126.06957506724,3512100,21008,49.55,28120.051134954865,36940468.810200594,0
2023-07-03,1313.6700439453125,256,97,47,6,7,6,27,9,5,10,44,11,4126.06957506724,3512100,21008,49.55,28120.051134954865,36940468.810200594,0
